曜日,時間,メルマガ内容,通数,種別,PR,形式,対象年齢,対象現住所,求人の職種,備考,新規,設定者,確認者,配信停止
火,15,ECサイト運用_未経験,0.7,隔週A,,抽出,,,,,,福,部,FALSE
火,9,ランキング×WEBマーケティング,0.4,隔週A,,抽出,,,,,,部,石,FALSE
火,17,引っ越し特典,2.3,隔週A,,抽出,,,,,,部,石,FALSE
水,18,過去会員×フルリモート×未経験歓迎,8.5,隔週A,,抽出,,,,,,部,石,FALSE
木,18,TP部_働きやすい企業特集,1.6,隔週A,,抽出,,,,,,武,部,FALSE
木,19,埼玉_路線,0.7,隔週A,,抽出,,,,,,部,内,FALSE
木,19,神奈川_路線,0.9,隔週A,,抽出,,,,,,部,内,FALSE
木,19,千葉_路線,0.6,隔週A,,抽出,,,,,,部,内,FALSE
木,19,大阪_路線,0.7,隔週A,,抽出,,,,,,部,内,FALSE
木,19,東京_路線_事務,1,隔週A,,抽出,,,,,,部,内,FALSE
金,20,２回目転職×称号,0.9,隔週A,,抽出,,,,,,部,石,FALSE
金,19,TP部_リモート×未経験OKの求人特集,1.9,隔週A,,抽出,,,,,,部,石,FALSE
金,13,外部人気求人ランキング,1.4,隔週A,,抽出,,,,,,石,部,FALSE
土,11,フレックス_ランキング,2,隔週A,,抽出,,,,,,石,福,FALSE
土,17,京都市で働く,0.2,隔週A,,抽出,,,,,,部,武,FALSE
土,17,熊本市で働く,0.1,隔週A,,抽出,,,,,,部,武,FALSE
土,17,広島市で働く,0.1,隔週A,,抽出,,,,,,部,武,FALSE
土,12,高層ビルで働く_首都圏,1.6,隔週A,,抽出,,,,,,部,石,FALSE
土,12,高層ビルで働く_大阪,0.5,隔週A,,抽出,,,,,,部,石,FALSE
土,19,美容業界×未経験歓迎,0.3,隔週A,,抽出,,,,,,部,石,FALSE
日,18,コスメ業界_希望,0.3,隔週A,,抽出,,,,,,部,石,FALSE
日,13,関西_フルリモート_求人特集,1.6,隔週A,,フリー,,,,,,部,石,FALSE
月,19,超好条件_営業,0.9,隔週A,,抽出,,,,,,部,石,FALSE
月,12,未経験OK_専門性の高い事務,1.4,隔週A,,抽出,,,,,,部,石,FALSE
火,18,☆エンジニア_経験_35歳以上_首都圏版,0.1,隔週B,PR166掲出中(終了日未定),抽出,,,,,,部,内,TRUE
火,18,☆エンジニア_未経験_35歳以上_首都圏版,0.2,隔週B,PR165掲出中(終了日未定),抽出,,,,,,部,内,TRUE
火,17,相模原市で働く,0.2,隔週B,,抽出,,,,,,部,石,TRUE
水,18,☆営業_経験_35歳以上_首都圏版,0.1,隔週B,,抽出,,,,,,部,荒,TRUE
水,18,☆営業_未経験_35歳以上_首都圏版,0.2,隔週B,,抽出,,,,,,部,荒,TRUE
水,18,駅直結_営業販サコンサル,1.1,隔週B,,抽出,,,,,,部,石,TRUE
水,11,外資系企業,2.5,隔週B,,抽出,,,,,,福,部,TRUE
水,20,再募集メルマガ,2.6,隔週B,,抽出,,,,,,武,部,TRUE
水,21,事務‗新宿駅×駅チカ,1.4,隔週B,,抽出,,,,,,部,石,TRUE
水,12,人気検索KW_営業系希望,0.3,隔週B,,抽出,,,,,,部,石,TRUE
木,12,英語_リモートOK_月25万以上_未経験OK,0.5,隔週B,,抽出,,,,,,部,石,TRUE
木,19,首都圏‗営業×リモート×フレックス,0.9,隔週B,,抽出,,,,,,部,武,TRUE
木,19,首都圏‗事務×リモート×フレックス,2,隔週B,,抽出,,,,,,部,武,TRUE
木,18,人気検索KW_クリエイティブ系希望,0.7,隔週B,,抽出,,,,,,部,石,TRUE
