１０,,,,,,,,,,,,,,,,,月末増発,,,,,自動求人特集パトロール対象,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,月末増発管理シート(月末増発ラインナップ変更時は、シートも編集してください),,,,,Q1回くらいで確認※200件以下を保つこと、危ないものはRPA外す,,,,,,,,,,,,,,,,,,,,※200件を超えていたらコメント＆チャット連絡(【ウキ】メルマガ改善PJT)
,45047,,45078,,45108,,45139,,45170,,45200,,45231,,45261,,45413,,,,,→本部対応：1000件超えるとアウト。手動はその時点でみているので700件まで大丈夫としている。これはQ1回確認にしたので200件以下をボーダーラインとしている。,,,,,,,,,,,,,,,,,,,,確認履歴：その時点件数
,メルマガ名,回数,メルマガ名,回数,メルマガ名,回数,メルマガ名,回数,メルマガ名,回数,メルマガ名,回数,メルマガ名,回数,メルマガ名,回数,時間,メルマガ名,,,,時間,メルマガ名,自動求人特集タイトル,求人特集ID,最終確認日/件,,,,,,,,,,,,,,,,
月,,,40代以上の人気求人ランキング,,40代以上の人気求人ランキング,,40代以上の人気求人ランキング,,40代以上の人気求人ランキング,,40代以上の人気求人ランキング,,40代以上の人気求人ランキング,,40代以上の人気求人ランキング,,12,10時以降出社,2.3,,月,9,年収600万円以上,年収600万円以上の仕事,3317,251016/55,,,,,,,,,,,,,,,,2024/4/9：71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スカウトリマインド,,スカウトリマインド,,スカウトリマインド,,スカウトリマインド,,スカウトリマインド,,スカウトリマインド,,スカウトリマインド,,スカウトリマインド,,18,スカウトリマインド,6.4,,,,,,,,,,,,,,,,,,,,,,,
,増発_フレキシブル事務,,,,,,ランキング_事務（受付）_希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/4/9：136
水,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,新生活応援_複数_未経験_事務,,9,時短×リモート_関西,0.2,,水,10,40代未経験_正社員,40代から未経験でチャレンジできる正社員の求人,24298,251016/198,,,,,,,,,,,,,,,,2024/4/9：121
,関西_転勤なし,,関西_転勤なし,,関西_転勤なし,,関西_転勤なし,,関西_転勤なし,,関西_転勤なし,,関西_転勤なし,,関西_転勤なし,,10,週休3日OK_ランキング,1.8,,,12,自己PR不要_リモート未経験_事務,【首都圏版】自己PR不要！リモート×未経験OKの事務職求人,24336,251016/163,,,,,,,,,,,,,,,,2024/4/9：88
,,,,,,,,,検討中ランキング_エンジニア,,,,,,,,10,全国募集,2.4,,,,自己PR不要_リモート未経験_営業,【首都圏版】自己PR不要！リモート×未経験OKの営業・企画系求人,24356,251016/93,,,,,,,,,,,,,,,,2024/4/9：68
,,,,,,,,,検討中ランキング_コンサル,,,,,,,,,,,,,,自己PR不要_リモート未経験_エンジニア,【全国版】自己PR不要！リモート×未経験OKのエンジニア系求人,24876,251016/97,,,,,,,,,,,,,,,,2024/4/9：80
,,,,,,,,,検討中ランキング_営業,,,,,,,,,,,,,,自己PR不要_残業無_未経験_販サ,【首都圏版】自己PR不要！残業ほぼなし×未経験OKのサービス・販売系求人,24358,251016/107,,,,,,,,,,,,,,,,
,,,,,,,,,検討中ランキング_介護,,,,,,,,19,アプリ人気,3.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ランキング_事務（受付）_希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木,,,,,,,資格活かせる_FP,,資格活かせる_FP,,,,,,,,10,フルリモートランキング_新規8日から29日,6,,木,8,年収500万以上_未経験歓迎,未経験からでも年収500万円以上が叶うお仕事,12077,251016/43,,,,,,,,,,,,,,,,
,,,,,,,未経験OK_受付,,未経験OK_受付,,,,フルリモート×未経験歓迎_過去会員,,フルリモート×未経験歓迎_過去会員,,15,レコメンドリマインド,8,,,,,,,,,,,,,,,,,,,,,,,
